City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Plettenberg Bay,ZA,62.17,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
580,Sechura,PE,74.98,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
581,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
582,Huarmey,PE,70.34,overcast clouds,-10.0681,-78.1522,Hotel Miramar
584,Mocuba,MZ,85.17,broken clouds,-16.8392,36.9856,Phama Lodge
588,Jiazi,CN,61.03,scattered clouds,22.8779,116.067,Hotel Jin Hao
589,Marzuq,YE,72.28,broken clouds,14.4,46.4667,
590,Luau,AO,73.56,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
592,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
593,Waingapu,ID,82.04,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
595,Cacapava Do Sul,BR,78.6,overcast clouds,-30.5122,-53.4914,Hotel Portal
596,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
597,Xuddur,SO,82.18,scattered clouds,4.1213,43.8894,Banjanay Hotel
598,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
603,Aitape,PG,78.67,overcast clouds,-3.1374,142.3475,
607,Vangaindrano,MG,74.62,light rain,-23.35,47.6,Hotel Fanilo
608,Belize,BZ,77.32,broken clouds,17.25,-88.75,Villa San Juan
609,Payo,ID,74.17,moderate rain,-3.7508,103.6372,Mess keban agung
610,Amod,IN,82.71,scattered clouds,21.9833,72.9,"Aman Residency,Bhimpura."
611,Port-Gentil,GA,82.36,light rain,-0.7193,8.7815,Fengshui Residence
613,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
614,Elat,IL,75.04,sand,29.5581,34.9482,Club Hotel Eilat
616,Alvorada,BR,84.94,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
617,Poum,NC,77.94,overcast clouds,-20.2333,164.0167,Gîte kajeon
619,Wanning,CN,67.37,overcast clouds,18.8003,110.3967,Paradise Hotel
620,Lucapa,AO,77.83,scattered clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
621,Hualmay,PE,70.0,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
623,Lahaina,US,75.81,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
626,Mackay,AU,78.78,broken clouds,-21.15,149.2,International Lodge Motel
630,Ancud,CL,65.73,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
631,Tiarei,PF,77.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
632,Soe,ID,68.9,broken clouds,-9.8607,124.284,Dena Hotel
635,Diego De Almagro,CL,80.31,overcast clouds,-26.3667,-70.05,hotel luna del desierto
636,Vung Tau,VN,79.3,overcast clouds,10.346,107.0843,Green hotel
638,Katherine,AU,88.12,light rain,-14.4667,132.2667,Pine Tree Motel
639,Flower Mound,US,60.76,clear sky,33.0146,-97.097,A Unique Boutique & Spa
645,Sola,VU,81.79,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
